"Feature","SHAP"
"actual_outside_distance",0.0520834174723495
"actual_inside_distance",0.0332797742500638
"position",0.0317260862321656
"x",0.0161790861582364
"yardlineNumber",0.0148306653749082
"y",0.0145359088719957
"receiverAlignment",0.00584562049429781
"offenseFormation",0.00580386513024124
"num_RB",0.0029688733549706
"yardsToGo",0.00246978759373476
"num_TE",0.00219278526562341
"down",0.00215616409123273
"pff_manZone",0.00206802837025176
"pff_passCoverage",0.00196426673948728
"num_DB",0.00183715627562142
"y_motion_dist",0.00182452733011195
"num_DL",0.00177725664219981
